ID_2,est,se
ITA.4.1_1,0.017,0.1293357171384909
ITA.4.2_1,0,0
ITA.4.3_1,0.454,0.4981286301068551
ITA.4.4_1,0.599,0.4903462444430868
ITA.4.5_1,0.058,0.2338604085575211
ITA.5.1_1,0.078,0.26830577330349786
ITA.5.2_1,0.168,0.3740533597174552
ITA.5.3_1,0,0
ITA.5.4_1,0,0
ITA.5.5_1,0,0
ITA.6.1_1,0,0
ITA.6.2_1,0,0
ITA.6.3_1,0,0
ITA.6.4_1,0,0
ITA.6.5_1,0.015,0.12161327966052798
ITA.6.6_1,0,0
ITA.6.7_1,0.005,0.07056897321046962
ITA.6.8_1,0,0
ITA.6.9_1,0,0
ITA.7.1_1,0,0
ITA.7.2_1,0.479,0.499808772240753
ITA.7.3_1,0,0
ITA.7.4_1,0.022,0.1467567291047928
ITA.8.1_1,0,0
ITA.8.2_1,0,0
ITA.8.3_1,0.004,0.06315051850925682
ITA.8.4_1,0,0
ITA.8.5_1,0,0
ITA.9.1_1,0.903,0.296105857217784
ITA.9.2_1,0.691,0.4623123757079544
ITA.9.3_1,0.01,0.0995485304256668
ITA.9.4_1,0.473,0.4995202903992194
NLD.1.1_1,0.037,0.1888562063228706
NLD.1.10_1,0.038,0.19129190414806527
NLD.1.11_1,0.05,0.2180540014481448
NLD.1.12_1,0.555,0.49721446300587663
NLD.1.2_1,0.185,0.38849186082326864
NLD.1.3_1,0.04,0.19605723255834873
NLD.1.4_1,0.968,0.17608806605504818
NLD.1.5_1,0.429,0.49518098126261295
NLD.1.6_1,0.914,0.28050433629924987
NLD.1.7_1,0.44,0.4966353256129156
NLD.1.8_1,0.116,0.3203851535989872
NLD.1.9_1,0.087,0.2819760814510878
NLD.10.1_1,0.445,0.49721446300587663
NLD.10.10_1,0.442,0.49687310541312546
NLD.10.11_1,0.003,0.05471740119919799
NLD.10.12_1,0.478,0.4997657108743714
NLD.10.13_1,0.12,0.3251241389157466
NLD.10.14_1,0.056,0.2300367729666649
NLD.10.15_1,0.474,0.4995733915788286
NLD.10.16_1,0.473,0.4995202903992194
NLD.10.17_1,0.793,0.4053582555164201
NLD.10.18_1,0.208,0.4060799193519681
NLD.10.19_1,0.05,0.2180540014481448
NLD.10.20_1,0.001,0.03162277660168379
NLD.10.21_1,0.076,0.26513071171460745
NLD.10.22_1,0.405,0.4911376754192415
NLD.10.23_1,0.423,0.49428262696084646
NLD.10.24_1,0.404,0.4909429956981004
NLD.10.25_1,0.008,0.08912880535463237
NLD.10.26_1,0.706,0.45581988961844544
NLD.10.3_1,0.064,0.24487540497968344
NLD.10.4_1,0.025,0.15620307103062794
NLD.10.5_2,0.466,0.4990922691177385
NLD.10.6_1,0.431,0.4954639083570917
NLD.10.7_1,0.54,0.49864681754589457
NLD.10.8_1,0.174,0.37929917989348183
NLD.10.9_1,0.256,0.4366401890053808
NLD.11.12_1,0,0
NLD.11.13_1,0.582,0.49347696959383985
NLD.11.14_1,0,0
NLD.11.16_1,0.444,0.49710271686152663
NLD.11.18_1,0.076,0.26513071171460745
NLD.11.21_1,0.444,0.49710271686152663
NLD.11.22_1,0.804,0.3971671458488753
NLD.11.23_1,0.918,0.27450200609713465
NLD.11.24_1,0,0
NLD.11.25_1,0.719,0.4497123983628217
NLD.11.26_1,0.414,0.4927949338688932
NLD.11.27_1,0.037,0.1888562063228706
NLD.11.28_1,0.473,0.4995202903992194
NLD.11.3_1,0.934,0.24840633185509925
NLD.11.30_1,0.464,0.498951854343636
NLD.11.31_1,0.791,0.4067978422810088
NLD.11.32_1,0.439,0.4965133689293024
NLD.11.33_1,0.076,0.26513071171460745
NLD.11.34_1,0.031,0.17340435135563662
NLD.11.35_1,0.514,0.5000540511325291
NLD.11.36_1,0,0
NLD.11.37_1,0.302,0.45935499018406994
NLD.11.4_1,0.002,0.04469897088298564
NLD.11.6_1,0.037,0.1888562063228706
