NAME_1,year,month,est,se
Kalimantan Barat,2016,08,0.5309999999999999,0.8613770844498593
Kalimantan Selatan,2016,08,0.204,0.4031706171666613
Kalimantan Tengah,2016,08,0.228,0.4197525368502163
Kalimantan Timur,2016,08,0.142,0.34922479573758497
Kaliningrad,2016,08,0.76,0.9271466592340566
Kaluga,2016,08,0.627,0.4838440917331792
Kampala,2016,08,0.243,0.4291097005838194
Kândal,2016,08,0.294,0.45581988961844544
Kaohsiung,2016,08,0.135,0.34189456253630574
Kapchorwa,2016,08,0.242,0.428508599236491
Karachay-Cherkess,2016,08,0.397,0.4895208173618673
Karaman,2016,08,0.196,0.3971671458488753
Kardzhali,2016,08,0.191,0.3932857404911519
Karlovarský,2016,08,0.652,0.4765743626372731
Karnataka,2016,08,2.792,5.371519677665422
Kärnten,2016,08,1.393,1.5819459599402583
Katsina,2016,08,0.296,0.45671938057476014
Kayin,2016,08,0.639,0.9314260304547484
Kayseri,2016,08,0.408,0.49170903772228736
Kayunga,2016,08,0.239,0.42668613881993056
Kemerovo,2016,08,1.449,1.4890193657982431
Kerala,2016,08,1.828,3.2084719256376033
Kerman,2016,08,0.377,0.776676480746455
Kermanshah,2016,08,0.431,0.4954639083570917
Khanty-Mansiy,2016,08,0.338,0.4732652321690026
Kharkiv,2016,08,0.747,0.4349484799147827
Khartoum,2016,08,0.402,0.7822676834300137
Kherson,2016,08,0.923,0.9974164111392856
Khmel'nyts'kyy,2016,08,0.692,0.4618975528722244
Khomas,2016,08,0.248,0.432067914433232
Khulna,2016,08,0.539,1.1405121256087976
Khuzestan,2016,08,1.178,1.491403643908021
Khyber-Pakhtunkhwa,2016,08,0.202,0.40169311340544206
Kiambu,2016,08,0.31,0.462724663395106
Kiev,2016,08,1.246,1.471124999933116
Kiev City,2016,08,0.895,1.221749180452709
Kilis,2016,08,0.311,0.4631344227041362
Kinshasa,2016,08,0.108,0.3105357184486713
Kirklareli,2016,08,0.7010000000000001,0.8769773345155094
Kirov,2016,08,0.652,0.4765743626372731
Kirovohrad,2016,08,1.281,0.9507084810588649
Klaipedos,2016,08,0,0
Kocaeli,2016,08,1.473,1.447308908118259
Komárom-Esztergom,2016,08,2.474,2.7412895668265644
Komi,2016,08,0.694,0.4610602743422779
Koprivničko-Križevačka,2016,08,1.037,0.9931636322857225
Korçë,2016,08,0.512,0.5001060948499889
Kordestan,2016,08,0.207,0.4053582555164201
Košický,2016,08,0.687,0.4639463829433809
Královéhradecký,2016,08,0.615,0.48683879468671354
Krapinsko-Zagorska,2016,08,0.482,0.4999259204381444
Krasnodar,2016,08,1.146,0.9894819460394647
Krasnoyarsk,2016,08,2.965,1.671790214311029
Kuala Lumpur,2016,08,0.083,0.2760202658994212
Kujawsko-Pomorskie,2016,08,2.183,1.8427970766601565
Kütahya,2016,08,0.258,0.43775292989039793
KwaZulu-Natal,2016,08,0.172,0.3775692765024169
L'viv,2016,08,1.071,0.9410948068410694
La Altagracia,2016,08,0.001,0.03162277660168379
La Guajira,2016,08,0.163,0.3695504939349528
La Libertad,2016,08,0.968,1.680008771106179
La Paz,2016,08,0.079,0.26987373312686774
La Rioja,2016,08,0.001,0.03162277660168379
Lääne-Viru,2016,08,0.616,0.48660125439704816
Lagos,2016,08,1.403,2.465952524198614
Lâm Đồng,2016,08,0.175,0.38015722999769386
Lambayeque,2016,08,0.017,0.1293357171384909
Lampung,2016,08,0.96,1.5148563465502611
Lankaran,2016,08,0.113,0.3167512136225074
Lapland,2016,08,0.768,0.42232020358296185
Lara,2016,08,0.044,0.20519772441746548
Latgale,2016,08,0.595,0.4911376754192415
Lazio,2016,08,1.657,1.997782945863421
Le Marin,2016,08,0.186,0.3893013685508382
Lebap,2016,08,0.315,0.46474830929331096
Leningrad,2016,08,2.428,1.8798563933015502
Lezhë,2016,08,0.384,0.48660125439704816
Liberecký,2016,08,0.984,0.9435987788964117
Liguria,2016,08,2.351,1.953092943300132
Lima,2016,08,0.644,0.8920098594706781
Lima Province,2016,08,0,0
Limburg,2016,08,17.4,14.493196914301317
Limpopo,2016,08,0.746,1.2464561857035636
Lisboa,2016,08,1.744,1.9782664906636522
Łódzkie,2016,08,1.0010000000000001,0.9482283605409334
Loei,2016,08,0.236,0.4248346554654934
Loja,2016,08,0.053,0.22414558046332575
Lombardia,2016,08,3.9050000000000002,4.595490945248378
Lorestan,2016,08,0.369,0.4827753846998334
Los Rios,2016,08,0.237,0.4254550646214145
Louisiana,2016,08,0.488,0.5001060948499889
Louth,2016,08,0.571,0.4951809812626129
Lovech,2016,08,0.895,0.9762297752861238
Luanda,2016,08,0.19399999999999998,0.5703558260655133
Lubelskie,2016,08,1.216,0.9183672537199067
Lucerne,2016,08,0.421,0.49396660110072527
Luhans'k,2016,08,0.395,0.48909530177074306
Lusaka,2016,08,0.015,0.12161327966052798
Luxembourg,2016,08,0.599,0.4903462444430868
Macau,2016,08,0.12,0.3251241389157466
Macedonia and Thrace,2016,08,0.6799999999999999,0.947740997701767
Madeira,2016,08,0.424,0.494437527366672
Madhya Pradesh,2016,08,3.5020000000000002,5.423515674221059
Mafraq,2016,08,0.378,0.48513024163759505
Magdalena,2016,08,0.46599999999999997,0.8312114137524989
Maharashtra,2016,08,4.43,7.013734035404198
Mahdia,2016,08,0.508,0.5001861515337926
Makkah,2016,08,0.443,0.8024693122513116
Malaita,2016,08,0.139,0.3461196307619647
Malatya,2016,08,0.153,0.3601676286407771
Maldonado,2016,08,0.618,0.8835509373274313
Małopolskie,2016,08,1.9929999999999999,1.403446251575164
Maluku,2016,08,0.329,0.47008507738491334
