gid_1,month,year,est,se
PRT.14_1,08,2023,0,0
PRT.15_1,08,2023,0,0
PRT.16_1,08,2023,0,0
PRT.17_1,08,2023,0,0
PRT.18_1,08,2023,0,0
PRT.19_1,08,2023,0,0
PRT.1_1,08,2023,0,0
PRT.20_1,08,2023,0,0
PRT.3_1,08,2023,0,0
PRT.4_1,08,2023,0,0
PRT.5_1,08,2023,0,0
PRT.6_1,08,2023,0,0
PRT.7_1,08,2023,0,0
PRT.8_1,08,2023,0,0
PRT.9_1,08,2023,0,0
ROU.10_1,08,2023,0,0
ROU.11_1,08,2023,0,0
ROU.12_1,08,2023,0,0
ROU.13_1,08,2023,0,0
ROU.14_1,08,2023,0,0
ROU.15_1,08,2023,0,0
ROU.16_1,08,2023,0,0
ROU.17_1,08,2023,0,0
ROU.18_1,08,2023,0,0
ROU.19_1,08,2023,0,0
ROU.1_1,08,2023,0,0
ROU.20_1,08,2023,0,0
ROU.21_1,08,2023,0,0
ROU.22_1,08,2023,0,0
ROU.23_1,08,2023,0,0
ROU.24_1,08,2023,0,0
ROU.25_1,08,2023,0,0
ROU.26_1,08,2023,0,0
ROU.27_1,08,2023,0,0
ROU.28_1,08,2023,0,0
ROU.29_1,08,2023,0,0
ROU.2_1,08,2023,0,0
ROU.31_1,08,2023,0,0
ROU.32_1,08,2023,0,0
ROU.33_1,08,2023,0,0
ROU.34_1,08,2023,0,0
ROU.35_1,08,2023,0,0
ROU.37_1,08,2023,0,0
ROU.38_1,08,2023,0,0
ROU.39_1,08,2023,0,0
ROU.3_1,08,2023,0,0
ROU.40_1,08,2023,0,0
ROU.41_1,08,2023,0,0
ROU.5_1,08,2023,0,0
ROU.6_1,08,2023,0,0
ROU.7_1,08,2023,0,0
ROU.8_1,08,2023,0,0
ROU.9_1,08,2023,0,0
RUS.13_1,08,2023,0,0
RUS.19_1,08,2023,0,0
RUS.1_1,08,2023,0,0
RUS.21_1,08,2023,0,0
RUS.31_1,08,2023,0,0
RUS.32_1,08,2023,0,0
RUS.33_1,08,2023,0,0
RUS.41_1,08,2023,0,0
RUS.42_1,08,2023,0,0
RUS.47_1,08,2023,0,0
RUS.54_1,08,2023,0,0
RUS.57_1,08,2023,0,0
RUS.59_1,08,2023,0,0
RUS.62_1,08,2023,0,0
RUS.63_1,08,2023,0,0
RUS.64_1,08,2023,0,0
RUS.67_1,08,2023,0,0
RUS.68_1,08,2023,0,0
RUS.75_1,08,2023,0,0
RUS.76_1,08,2023,0,0
RUS.77_1,08,2023,0,0
RUS.78_1,08,2023,0,0
RUS.79_1,08,2023,0,0
RUS.8_1,08,2023,0,0
SRB.10_1,08,2023,0,0
SRB.11_1,08,2023,0,0
SRB.12_1,08,2023,0,0
SRB.13_1,08,2023,0,0
SRB.14_1,08,2023,0,0
SRB.15_1,08,2023,0,0
SRB.16_1,08,2023,0,0
SRB.17_1,08,2023,0,0
SRB.18_1,08,2023,0,0
SRB.19_1,08,2023,0,0
SRB.1_1,08,2023,0,0
SRB.20_1,08,2023,0,0
SRB.21_1,08,2023,0,0
SRB.22_1,08,2023,0,0
SRB.23_1,08,2023,0,0
SRB.24_1,08,2023,0,0
SRB.25_1,08,2023,0,0
SRB.2_1,08,2023,0,0
SRB.3_1,08,2023,0,0
SRB.4_1,08,2023,0,0
SRB.5_1,08,2023,0,0
SRB.6_1,08,2023,0,0
SRB.7_1,08,2023,0,0
SRB.8_1,08,2023,0,0
SRB.9_1,08,2023,0,0
SVK.1_1,08,2023,0,0
SVK.2_1,08,2023,0,0
SVK.3_1,08,2023,0,0
SVK.4_1,08,2023,0,0
SVK.5_1,08,2023,0,0
SVK.6_1,08,2023,0,0
SVK.7_1,08,2023,0,0
SVK.8_1,08,2023,0,0
SVN.10_1,08,2023,0,0
SVN.11_1,08,2023,0,0
SVN.12_1,08,2023,0,0
SVN.1_1,08,2023,0,0
SVN.2_1,08,2023,0,0
SVN.3_1,08,2023,0,0
SVN.4_1,08,2023,0,0
SVN.5_1,08,2023,0,0
SVN.6_1,08,2023,0,0
SVN.7_1,08,2023,0,0
SVN.8_1,08,2023,0,0
SVN.9_1,08,2023,0,0
SWE.11_1,08,2023,0,0
SWE.12_1,08,2023,0,0
SWE.13_1,08,2023,0,0
SWE.14_1,08,2023,0,0
SWE.15_1,08,2023,0,0
SWE.16_1,08,2023,0,0
SWE.17_1,08,2023,0,0
SWE.1_1,08,2023,0,0
SWE.20_1,08,2023,0,0
SWE.21_1,08,2023,0,0
SWE.2_1,08,2023,0,0
SWE.5_1,08,2023,0,0
SWE.7_1,08,2023,0,0
SWE.9_1,08,2023,0,0
TUR.11_1,08,2023,0,0
TUR.12_1,08,2023,0,0
TUR.14_1,08,2023,0,0
TUR.15_1,08,2023,0,0
TUR.16_1,08,2023,0,0
TUR.17_1,08,2023,0,0
TUR.18_1,08,2023,0,0
TUR.19_1,08,2023,0,0
TUR.1_1,08,2023,0,0
TUR.20_1,08,2023,0,0
TUR.21_1,08,2023,0,0
TUR.22_1,08,2023,0,0
TUR.23_1,08,2023,0,0
TUR.25_1,08,2023,0,0
TUR.26_1,08,2023,0,0
TUR.27_1,08,2023,0,0
TUR.28_1,08,2023,0,0
TUR.29_1,08,2023,0,0
TUR.2_1,08,2023,0,0
TUR.30_1,08,2023,0,0
TUR.31_1,08,2023,0,0
TUR.32_1,08,2023,0,0
TUR.33_1,08,2023,0,0
TUR.34_1,08,2023,0,0
TUR.35_1,08,2023,0,0
TUR.36_1,08,2023,0,0
TUR.37_1,08,2023,0,0
TUR.38_1,08,2023,0,0
TUR.39_1,08,2023,0,0
TUR.40_1,08,2023,0,0
TUR.41_1,08,2023,0,0
TUR.42_1,08,2023,0,0
TUR.44_1,08,2023,0,0
TUR.45_1,08,2023,0,0
TUR.47_1,08,2023,0,0
TUR.48_1,08,2023,0,0
TUR.49_1,08,2023,0,0
TUR.4_1,08,2023,0,0
TUR.50_1,08,2023,0,0
TUR.51_1,08,2023,0,0
TUR.52_1,08,2023,0,0
TUR.53_1,08,2023,0,0
TUR.55_1,08,2023,0,0
TUR.56_1,08,2023,0,0
TUR.57_1,08,2023,0,0
TUR.58_1,08,2023,0,0
TUR.59_1,08,2023,0,0
TUR.5_1,08,2023,0,0
TUR.60_1,08,2023,0,0
TUR.62_1,08,2023,0,0
TUR.63_1,08,2023,0,0
TUR.64_1,08,2023,0,0
TUR.66_1,08,2023,0,0
TUR.68_1,08,2023,0,0
TUR.69_1,08,2023,0,0
TUR.71_1,08,2023,0,0
TUR.72_1,08,2023,0,0
TUR.73_1,08,2023,0,0
TUR.76_1,08,2023,0,0
TUR.78_1,08,2023,0,0
TUR.79_1,08,2023,0,0
TUR.7_1,08,2023,0,0
TUR.8_1,08,2023,0,0
TUR.9_1,08,2023,0,0
UKR.11_1,08,2023,0,0
UKR.12_1,08,2023,0,0
UKR.16_1,08,2023,0,0
UKR.17_1,08,2023,0,0
UKR.19_1,08,2023,0,0
UKR.1_1,08,2023,0,0
UKR.23_1,08,2023,0,0
UKR.24_1,08,2023,0,0
UKR.25_1,08,2023,0,0
UKR.27_1,08,2023,0,0
UKR.2_1,08,2023,0,0
UKR.3_1,08,2023,0,0
XKO.1_1,08,2023,0,0
XKO.2_1,08,2023,0,0
XKO.3_1,08,2023,0,0
XKO.4_1,08,2023,0,0
XKO.5_1,08,2023,0,0
XKO.6_1,08,2023,0,0
XKO.7_1,08,2023,0,0
ZNC.1_1,08,2023,0,0
ZNC.2_1,08,2023,0,0
ZNC.3_1,08,2023,0,0
ZNC.4_1,08,2023,0,0
ZNC.5_1,08,2023,0,0
