year,month,masked_lon,masked_lat,TigacellID,est,se
2021,10,-1.25,41.5,-1.25_41.5,0,0
2021,10,-1.25,41.550000000000004,-1.25_41.55,0,0
2021,10,-1.25,41.650000000000006,-1.25_41.65,0,0
2021,10,-1.25,41.75,-1.25_41.75,0,0
2021,10,-1.25,42.150000000000006,-1.25_42.15,0,0
2021,10,-1.25,42.2,-1.25_42.2,0,0
2021,10,-1.25,42.45,-1.25_42.45,0,0
2021,10,-1.25,42.5,-1.25_42.5,0,0
2021,10,-1.25,42.550000000000004,-1.25_42.55,0,0
2021,10,-1.25,42.6,-1.25_42.6,0,0
2021,10,-1.25,42.650000000000006,-1.25_42.65,0,0
2021,10,-1.25,42.900000000000006,-1.25_42.9,0,0
2021,10,-1.25,42.95,-1.25_42.95,0,0
2021,10,-1.25,43,-1.25_43,0,0
2021,10,-1.25,43.1,-1.25_43.1,0,0
2021,10,-1.25,43.150000000000006,-1.25_43.15,0,0
2021,10,-1.25,43.2,-1.25_43.2,0,0
2021,10,-1.25,43.25,-1.25_43.25,0,0
2021,10,-1.25,43.650000000000006,-1.25_43.65,0,0
2021,10,-1.25,43.75,-1.25_43.75,0,0
2021,10,-1.5,37.45,-1.5_37.45,0,0
2021,10,-1.5,37.7,-1.5_37.7,0,0
2021,10,-1.5,37.75,-1.5_37.75,0,0
2021,10,-1.5,37.800000000000004,-1.5_37.8,0,0
2021,10,-1.5,37.85,-1.5_37.85,0,0
2021,10,-1.5,38,-1.5_38,0,0
2021,10,-1.5,38.25,-1.5_38.25,0,0
2021,10,-1.5,38.300000000000004,-1.5_38.3,0,0
2021,10,-1.5,38.85,-1.5_38.85,0,0
2021,10,-1.5,39.25,-1.5_39.25,0,0
2021,10,-1.5,39.5,-1.5_39.5,0,0
2021,10,-1.5,40.25,-1.5_40.25,0,0
2021,10,-1.5,40.45,-1.5_40.45,0,0
2021,10,-1.5,40.5,-1.5_40.5,0,0
2021,10,-1.5,40.7,-1.5_40.7,0,0
2021,10,-1.5,40.75,-1.5_40.75,0,0
2021,10,-1.5,40.85,-1.5_40.85,0,0
2021,10,-1.5,40.900000000000006,-1.5_40.9,0,0
2021,10,-1.5,40.95,-1.5_40.95,0,0
2021,10,-1.5,41.150000000000006,-1.5_41.15,0,0
2021,10,-1.5,41.300000000000004,-1.5_41.3,0,0
2021,10,-1.5,41.400000000000006,-1.5_41.4,0,0
2021,10,-1.5,41.45,-1.5_41.45,0,0
2021,10,-1.5,41.7,-1.5_41.7,0,0
2021,10,-1.5,41.85,-1.5_41.85,0,0
2021,10,-1.5,41.900000000000006,-1.5_41.9,0,0
2021,10,-1.5,41.95,-1.5_41.95,0,0
2021,10,-1.5,42,-1.5_42,0,0
2021,10,-1.5,42.35,-1.5_42.35,0,0
2021,10,-1.5,42.550000000000004,-1.5_42.55,0,0
2021,10,-1.5,42.7,-1.5_42.7,0,0
2021,10,-1.5,42.900000000000006,-1.5_42.9,0,0
2021,10,-1.5,42.95,-1.5_42.95,0,0
2021,10,-1.5,43.1,-1.5_43.1,0,0
2021,10,-1.5,43.150000000000006,-1.5_43.15,0,0
2021,10,-1.5,43.2,-1.5_43.2,0,0
2021,10,-1.5,43.45,-1.5_43.45,0,0
2021,10,-1.5,43.5,-1.5_43.5,0.785,0.4110279113928201
2021,10,-1.5,43.550000000000004,-1.5_43.55,0,0
2021,10,-1.75,37.300000000000004,-1.75_37.3,0,0
2021,10,-1.75,37.35,-1.75_37.35,0,0
2021,10,-1.75,37.4,-1.75_37.4,0,0
2021,10,-1.75,37.45,-1.75_37.45,0,0
2021,10,-1.75,37.5,-1.75_37.5,0,0
2021,10,-1.75,37.6,-1.75_37.6,0,0
2021,10,-1.75,37.65,-1.75_37.65,0,0
2021,10,-1.75,37.7,-1.75_37.7,0,0
2021,10,-1.75,37.85,-1.75_37.85,0,0
2021,10,-1.75,37.95,-1.75_37.95,0,0
2021,10,-1.75,38,-1.75_38,0,0
2021,10,-1.75,38.15,-1.75_38.15,0,0
2021,10,-1.75,38.2,-1.75_38.2,0,0
2021,10,-1.75,38.25,-1.75_38.25,0,0
2021,10,-1.75,38.5,-1.75_38.5,0,0
2021,10,-1.75,38.75,-1.75_38.75,0,0
2021,10,-1.75,38.800000000000004,-1.75_38.8,0,0
2021,10,-1.75,38.900000000000006,-1.75_38.9,0,0
2021,10,-1.75,39,-1.75_39,0,0
2021,10,-1.75,39.2,-1.75_39.2,0,0
2021,10,-1.75,39.25,-1.75_39.25,0,0
2021,10,-1.75,39.35,-1.75_39.35,0,0
2021,10,-1.75,39.400000000000006,-1.75_39.4,0,0
2021,10,-1.75,39.5,-1.75_39.5,0,0
2021,10,-1.75,39.900000000000006,-1.75_39.9,0,0
2021,10,-1.75,39.95,-1.75_39.95,0,0
2021,10,-1.75,40.2,-1.75_40.2,0,0
2021,10,-1.75,40.35,-1.75_40.35,0,0
2021,10,-1.75,40.400000000000006,-1.75_40.4,0,0
2021,10,-1.75,40.550000000000004,-1.75_40.55,0,0
2021,10,-1.75,40.800000000000004,-1.75_40.8,0,0
2021,10,-1.75,41.150000000000006,-1.75_41.15,0,0
2021,10,-1.75,41.300000000000004,-1.75_41.3,0,0
2021,10,-1.75,41.400000000000006,-1.75_41.4,0,0
2021,10,-1.75,41.800000000000004,-1.75_41.8,0,0
2021,10,-1.75,41.85,-1.75_41.85,0,0
2021,10,-1.75,41.900000000000006,-1.75_41.9,0,0
2021,10,-1.75,42.1,-1.75_42.1,0,0
2021,10,-1.75,42.150000000000006,-1.75_42.15,0,0
2021,10,-1.75,42.25,-1.75_42.25,0,0
2021,10,-1.75,42.300000000000004,-1.75_42.3,0,0
2021,10,-1.75,42.35,-1.75_42.35,0,0
2021,10,-1.75,42.6,-1.75_42.6,0,0
2021,10,-1.75,42.7,-1.75_42.7,0,0
2021,10,-1.75,42.75,-1.75_42.75,0,0
2021,10,-1.75,42.800000000000004,-1.75_42.8,0,0
2021,10,-1.75,42.85,-1.75_42.85,0,0
2021,10,-1.75,43.050000000000004,-1.75_43.05,0,0
2021,10,-1.75,43.2,-1.75_43.2,0,0
2021,10,-1.75,43.300000000000004,-1.75_43.3,0,0
2021,10,-1.75,43.35,-1.75_43.35,0,0
2021,10,-117.9,34,-117.9_34,0,0
2021,10,-117.9,34.1,-117.9_34.1,0,0
2021,10,-117.95,33.95,-117.95_33.95,0,0
2021,10,-117.95,34.050000000000004,-117.95_34.05,0,0
2021,10,-117.95,34.1,-117.95_34.1,0,0
2021,10,-117.95,34.550000000000004,-117.95_34.55,0,0
2021,10,-118,34,-118_34,0,0
2021,10,-118,34.050000000000004,-118_34.05,0,0
2021,10,-118,34.1,-118_34.1,0,0
2021,10,-118.05000000000001,33.9,-118.05_33.9,0,0
2021,10,-118.05000000000001,33.95,-118.05_33.95,0,0
2021,10,-118.05000000000001,34,-118.05_34,0,0
2021,10,-118.05000000000001,34.050000000000004,-118.05_34.05,0,0
2021,10,-118.05000000000001,34.1,-118.05_34.1,0,0
2021,10,-118.10000000000001,33.800000000000004,-118.1_33.8,0,0
2021,10,-118.10000000000001,33.85,-118.1_33.85,0,0
2021,10,-118.10000000000001,33.9,-118.1_33.9,0,0
2021,10,-118.10000000000001,33.95,-118.1_33.95,0,0
2021,10,-118.10000000000001,34,-118.1_34,0,0
2021,10,-118.10000000000001,34.050000000000004,-118.1_34.05,0,0
2021,10,-118.10000000000001,34.1,-118.1_34.1,0,0
2021,10,-118.10000000000001,34.15,-118.1_34.15,0,0
2021,10,-118.15,33.75,-118.15_33.75,0,0
2021,10,-118.15,33.800000000000004,-118.15_33.8,0,0
2021,10,-118.15,33.85,-118.15_33.85,0,0
2021,10,-118.15,33.9,-118.15_33.9,0,0
2021,10,-118.15,33.95,-118.15_33.95,0,0
2021,10,-118.15,34,-118.15_34,0,0
2021,10,-118.15,34.050000000000004,-118.15_34.05,0,0
2021,10,-118.15,34.1,-118.15_34.1,0,0
2021,10,-118.15,34.15,-118.15_34.15,0,0
2021,10,-118.2,33.75,-118.2_33.75,0,0
2021,10,-118.2,33.800000000000004,-118.2_33.8,0,0
2021,10,-118.2,33.85,-118.2_33.85,0,0
2021,10,-118.2,33.95,-118.2_33.95,0,0
2021,10,-118.2,34,-118.2_34,0,0
2021,10,-118.2,34.050000000000004,-118.2_34.05,0,0
2021,10,-118.2,34.1,-118.2_34.1,0,0
2021,10,-118.2,34.15,-118.2_34.15,0,0
2021,10,-118.2,34.2,-118.2_34.2,0,0
2021,10,-118.25,33.800000000000004,-118.25_33.8,0,0
2021,10,-118.25,33.85,-118.25_33.85,0,0
